place,lac,ci,lon,lat,2G_3G,people
"四川省绵阳市三台县凯河镇张宝寺",1819,64684,104.891,30.9392,2,1
MY0576A1_绵阳永兴2-1,33111,10041,104.627014,31.45786,2,0.5
MY0576B1_绵阳永兴2-2,33111,10042,104.627014,31.45786,2,0.5
MY0576C1_绵阳永兴2-3,33111,10043,104.627014,31.45786,2,3
MY0361A1_绵阳涪城高屋基-1,33111,10081,104.69351,31.42732,2,0.5
MY0361B1_绵阳涪城高屋基-2,33111,10082,104.69351,31.42732,2,2
MY0361C1_绵阳涪城高屋基-3,33111,10083,104.69351,31.42732,2,2
MY0467A1_绵阳青义政府-1,33111,11014,104.7007,31.52591,2,0.5
MY0467B1_绵阳青义政府-2,33111,11015,104.7007,31.52591,2,0.5
MY0467C1_绵阳青义政府-3,33111,11016,104.7007,31.52591,2,0.5
MY0521A1_绵阳万向建材-1,33111,11034,104.6938,31.46241,2,5
MY0521B1_绵阳万向建材-2,33111,11035,104.6938,31.46241,2,5
MY0521C1_绵阳万向建材-3,33111,11036,104.6938,31.46241,2,3
MY0392A1_绵阳河边综合市场-1,33111,11064,104.54713,31.46075,2,2
MY0392B1_绵阳河边综合市场-2,33111,11065,104.54713,31.46075,2,0.5
MY0392C1_绵阳河边综合市场-3,33111,11066,104.54713,31.46075,2,0.5
MY0492A1_绵阳石桥铺-1,33111,11304,104.68067,31.44396,2,4
MY0492B1_绵阳石桥铺-2,33111,11305,104.68067,31.44396,2,4
MY0492C1_绵阳石桥铺-3,33111,11306,104.68067,31.44396,2,0.5
MY0572A1_绵阳一康制药-1,33111,11324,104.6481079,31.46957,2,1
MY0572B1_绵阳一康制药-2,33111,11325,104.6481079,31.46957,2,0.5
MY0572C1_绵阳一康制药-3,33111,11326,104.6481079,31.46957,2,3
MY0546A1_绵阳西南财经大学-1,33111,11404,104.68555,31.4923,2,0.5
MY0546B1_绵阳西南财经大学-2,33111,11405,104.68555,31.4923,2,0.5
MY0546C1_绵阳西南财经大学-3,33111,11406,104.68555,31.4923,2,0.5
